"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b0001",590,475,482,596,393,459
"b0002",11798,13146,11668,20408,13601,20751
"b0003",3699,4237,3402,5782,3621,5750
"b0004",3880,4841,4102,6376,4179,6467
"b0005",114,131,95,107,71,101
"b0006",161,200,192,272,154,209
"b0007",63,48,52,78,42,84
"b0008",4194,4299,4089,8487,5664,7684
"b0009",113,95,115,191,115,162
"b0010",69,77,53,105,59,100
"b0011",7,4,4,11,4,7
"b0012",0,0,0,0,0,0
"b0013",11,17,6,8,7,7
"b0014",6156,7108,7182,12063,9183,12509
"b0015",1138,1128,939,1475,1141,1536
"b0016",176,155,139,300,169,244
"b4412",0,0,0,0,0,0
"b0018",6,3,4,0,2,1
"b0019",187,203,139,300,230,274
"b0020",122,105,83,184,140,171
"b0021",815,663,649,1126,737,984
"b0022",8,8,4,4,4,1
"b0023",2872,2889,2146,2438,1990,2235
"b0024",14,17,14,28,7,17
"b0025",932,908,892,1459,1092,1333
"b0026",5034,5513,5106,8788,6156,7725
"b0027",527,528,526,865,622,759
"b0028",391,454,374,629,372,510
"b0029",581,534,484,840,603,734
"b0030",63,67,60,112,80,98
"b0031",729,864,696,855,551,653
"b0032",3394,2670,1706,2592,2236,2293
"b0033",6072,6045,3828,5177,4599,4534
"b0034",64,47,37,50,22,46
"b0035",7,21,7,23,14,21
"b0036",4,7,11,9,8,13
"b0037",65,56,44,91,55,73
"b0038",48,60,35,42,46,35
"b0039",57,65,43,54,40,33
"b0040",9,21,8,9,2,8
"b0041",6,7,5,5,5,2
"b0042",7,13,4,8,4,8
"b0043",30,30,19,22,27,27
"b0044",3,3,8,4,2,3
"b0045",15,23,9,18,12,20
"b0046",43,47,37,38,26,60
"b0047",123,134,91,178,115,152
"b0048",140,115,93,124,92,113
"b0049",266,299,245,432,328,389
"b0050",237,261,215,387,279,300
"b0051",604,684,489,1033,782,842
"b0052",852,824,543,1140,785,985
"b0053",1763,1929,1610,2613,1770,2104
"b0054",3540,3562,3305,5217,3617,4376
"b0055",137,127,107,200,177,192
"b0056",110,108,117,114,79,105
"b0057",113,132,113,153,116,136
"b0058",121,111,91,117,88,98
"b0059",528,520,467,497,311,420
"b0060",136,168,139,216,144,144
"b0061",5,10,5,8,4,13
"b0062",29,36,33,48,30,37
"b0063",8,11,14,26,13,18
"b0064",124,108,120,191,112,126
"b0065",134,169,118,215,177,193
"b0066",160,136,97,253,172,209
"b0067",249,288,189,597,427,455
"b0068",488,483,404,1174,879,881
"b0069",142,133,155,199,150,205
"b4662",48,61,51,28,26,35
"b0070",149,157,130,194,126,167
"b0071",2756,2557,3117,2297,1541,2438
"b0072",5522,5048,5843,4578,2789,5079
"b0073",3516,3480,4050,3160,2118,3572
"b0074",4316,4707,5396,4553,2980,4660
"b0075",147,120,147,124,86,96
"b0076",20,24,14,29,18,26
"b4726",1,1,0,2,0,0
"b0077",2475,2547,2681,3147,2325,2688
"b0078",845,957,807,1106,734,932
"b0080",521,530,531,680,452,644
"b0081",433,402,395,737,479,569
"b0082",532,551,590,996,630,870
"b0083",188,186,199,356,245,313
"b0084",941,967,812,1590,952,1176
"b0085",1010,1186,973,1736,1257,1712
"b0086",1122,1172,976,1981,1320,1661
"b0087",423,475,322,793,477,616
"b0088",655,651,566,1231,781,957
"b0089",614,603,471,899,596,791
"b0090",579,597,402,889,644,799
"b0091",930,953,728,1492,1025,1179
"b0092",453,549,481,945,661,858
"b0093",555,626,542,1107,750,911
"b0094",1104,1230,1202,2132,1499,1876
"b0095",3202,3312,3144,6136,4504,5131
"b0096",3740,4230,3321,6656,4803,5536
"b0097",722,744,658,1039,691,871
"b0098",2166,2369,1914,2654,2045,2516
"b0099",60,71,38,86,30,49
"b0101",132,118,101,148,113,128
"b0102",329,340,252,530,363,414
"b0103",169,212,180,268,187,235
"b4727",0,0,0,1,0,0
"b0104",1019,1014,1058,1110,852,1016
"b0106",54,50,38,58,39,40
"b0107",43,45,27,74,41,74
"b0108",3,6,3,7,2,1
"b0109",284,282,301,599,367,495
"b0110",117,95,75,163,116,125
"b0111",307,287,227,428,297,404
"b0112",2666,2777,2646,3603,2890,3557
"b0113",392,744,323,620,558,447
"b0114",11076,11753,11659,22979,19596,19300
"b0115",5920,6287,6056,11801,10019,10174
"b0116",10990,11941,10880,12373,9463,11415
"b0117",45,62,55,86,63,70
"b0118",11862,11458,10726,10278,7240,12869
"b0119",171,164,170,234,167,211
"b0120",1450,1555,1175,1768,1177,1703
"b0121",1324,1213,1029,1465,983,1431
"b0122",186,169,182,389,204,291
"b0123",258,290,276,234,167,311
"b0124",2185,2210,1854,1103,790,809
"b0125",369,339,262,447,314,436
"b0126",2460,2421,2234,3803,2734,3147
"b0127",283,362,310,424,247,415
"b0128",169,181,136,256,161,234
"b0129",56,66,57,127,65,123
"b0130",109,104,92,213,122,171
"b0131",816,712,740,1240,902,1093
"b0132",64,62,60,119,70,80
"b0133",1210,1188,1286,2609,1781,2269
"b0134",780,725,754,1465,1020,1294
"b0135",24,31,19,35,16,25
"b0136",5,13,2,17,13,10
"b0137",12,18,16,22,10,19
"b0138",6,15,10,15,4,18
"b0139",23,19,18,22,15,27
"b0140",4,3,4,8,1,6
"b0141",2,6,1,4,2,1
"b0142",180,168,151,283,186,203
"b0143",1522,1496,1358,2037,1629,1664
"b0144",116,113,80,113,58,101
"b0145",1272,1280,1354,1287,893,1152
"b0146",394,336,358,351,291,338
"b0147",58,57,74,120,80,79
"b0148",252,264,219,522,340,413
"b0149",615,651,587,1052,716,869
"b0150",4169,3976,3990,4916,3259,4468
"b0151",609,595,478,711,442,661
"b0152",355,322,255,364,272,335
"b0153",548,611,413,653,390,558
"b0154",1104,1101,1029,2150,1571,1929
"b0155",242,250,214,371,264,306
"b4728",15,15,13,31,18,27
"b0156",398,357,316,527,395,431
"b0157",96,79,71,165,83,128
"b0158",198,198,158,365,205,271
"b0159",626,619,587,987,744,935
"b0160",240,244,244,331,272,323
"b0161",890,925,1010,1843,1363,1710
"b0162",65,50,37,104,77,96
"b0163",409,449,539,571,403,521
"b0164",76,58,48,131,83,105
"b0166",2811,3273,2840,4486,2949,3643
"b0167",851,881,795,1514,1085,1287
"b0168",1111,1183,1052,1510,1046,1266
"b0169",9831,11179,9234,10701,7695,9242
"b0170",3746,4275,3746,4204,3255,3650
"b0171",939,999,790,1509,1185,1314
"b0172",2151,2162,2193,3096,2358,2852
"b0173",329,314,263,502,342,467
"b0174",621,641,512,585,429,483
"b0175",445,451,358,507,345,436
"b0176",1160,1213,1008,1476,1040,1277
"b0177",4970,5328,4696,6400,4641,5115
"b0178",1806,1952,1806,2259,1722,1894
"b0179",3223,3414,2968,4035,2881,3312
"b0180",931,945,766,1174,853,1069
"b0181",1180,1341,1238,1742,1252,1535
"b0182",617,624,550,789,586,719
"b0183",262,259,176,237,183,282
"b0184",1118,1190,1000,1185,856,1066
"b0185",1263,1254,1003,1568,1053,1374
"b0186",231,219,218,253,157,195
"b0187",71,67,70,71,72,62
"b0188",363,348,263,441,335,421
"b0189",132,145,160,209,136,162
"b4406",127,99,137,123,85,120
"b0190",87,99,68,162,127,136
"b0191",84,69,77,133,68,101
"b0192",145,146,171,256,209,233
"b0193",40,38,20,48,36,38
"b0194",2316,2679,2237,4411,3234,3862
"b0195",244,197,187,431,291,345
"b0196",401,332,265,559,440,550
"b0197",3509,3644,2935,5715,3965,4618
"b0198",625,600,464,1016,758,721
"b0199",713,708,611,1361,1036,968
"b0200",209,227,210,441,310,320
