"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"b0001" 500.60509142719 -0.491919964906024 0.13040986406815 -3.77210702902777 0.000161874787862435 0.00102262056067806
"b0002" 14786.5927284006 0.18776385220531 0.106123179860043 1.76930103727513 0.0768436504367868 0.190217896353238
"b0003" 4305.56031589436 0.0241748265939901 0.11020666877897 0.219359017578827 0.826370391797103 0.914602846256559
"b0004" 4864.29656547769 0.0154525062042868 0.114980211195772 0.134392745008761 0.893092018237243 0.94600904126765
"b0005" 103.936215573627 -0.671949459418782 0.196551733178002 -3.41869007489365 0.000629233525036775 0.0034703182289907
"b0006" 195.046923229581 -0.207422246866573 0.163759858793144 -1.26662448536049 0.205289593030629 0.381808673753316
"b0007" 59.8737746359687 -0.0819577993757949 0.261845465598971 -0.313000644056663 0.754280172832744 0.873048667709748
"b0008" 5518.57001689946 0.399940402504052 0.094304802500662 4.2409335675269 2.22592016823912e-05 0.000169471451852787
"b0009" 128.286611444727 0.129048700608559 0.188759615833548 0.683666895795958 0.494185532016016 0.693383664965203
"b0010" 74.8847045656844 0.0128321616718923 0.229135033368857 0.0560026176845484 0.955339721825243 0.980314529997443
"b0011" 5.87584229884087 0.128395983629916 0.737800680299491 0.174025298509887 0.861845580247627 NA
"b0012" 0 NA NA NA NA NA
"b0013" 9.49342393709983 -0.986662571443491 0.60161978899579 -1.64001016836631 0.101003052736837 0.230210195272813
"b0014" 8769.29105688037 0.335929561446916 0.118466016059842 2.83566184311645 0.00457308380456477 0.0190395711340376
"b0015" 1206.11320539023 -0.00402914533708683 0.113086577566628 -0.0356288555528435 0.971578299519623 0.988650761651757
"b0016" 190.070847306734 0.198302042529639 0.161338382465416 1.22910642526212 0.219031906442266 0.397313690755738
"b4412" 0 NA NA NA NA NA
"b0018" 2.96842366435242 -2.44002383428312 1.21548835987658 -2.00744319306429 0.0447024936056787 NA
"b0019" 215.759066916075 0.228567236996131 0.154880858791224 1.47576168404538 0.140007880121923 0.292569774645155
"b0020" 130.026342115807 0.295725901613917 0.184885972002915 1.59950426963304 0.109708600672124 0.244066514417263
"b0021" 810.776800559337 0.0249204484794958 0.120344724593249 0.207075537076711 0.835950866610565 0.91757731538931
"b0022" 5.05714777718546 -1.51189427539414 0.844155690969152 -1.79101354355425 0.0732911216572117 NA
"b0023" 2455.17053872325 -0.614843691656832 0.111217218012883 -5.52831389457711 3.23323167429177e-08 4.02521545900428e-07
"b0024" 15.5508370254468 -0.23096180939322 0.47515435689626 -0.486077431556931 0.626912267430046 0.790383933668589
"b0025" 1079.44334786047 0.121375110118705 0.107407611961777 1.13004197655841 0.25845853719079 0.444277391235912
"b0026" 6227.84359090306 0.143711913154895 0.0918089732750243 1.56533624141934 0.117504089651356 0.256482370444022
"b0027" 623.77283281553 0.116314330523009 0.115249363329865 1.00924054729999 0.312859285046277 0.507317856362695
"b0028" 445.261214442868 -0.0895663467088886 0.123194949597969 -0.727029370937504 0.467207963531027 0.670453878778292
"b0029" 616.193235280564 0.0585416920934078 0.114255320546857 0.512376069781359 0.608387835657146 0.778459426810047
"b0030" 77.7453586441891 0.222100217886161 0.217124966669563 1.02291422904013 0.306348401197563 0.5001553137023
"b0031" 726.358610811823 -0.545644668907916 0.110718405903955 -4.92822005928488 8.29821233046008e-07 8.28087924987427e-06
"b0032" 2493.49069753768 -0.481228048703602 0.162850336876015 -2.95503256508448 0.00312636049235596 0.0137186564888455
"b0033" 5078.18099454415 -0.508878911959609 0.138445843312091 -3.67565323584667 0.0002372415881333 0.00144615207311877
"b0034" 44.3706934712855 -0.733671952978725 0.302120032296318 -2.42841213607161 0.0151650991780339 0.0522585741381993
"b0035" 14.7336320803034 0.352324962019604 0.500741151506848 0.703606965314065 0.481677572455809 0.682852997747071
"b0036" 8.62957030384721 0.0546171561912707 0.631248862004992 0.0865223836092061 0.931051163243967 NA
"b0037" 62.2911728975782 0.0141650821717639 0.243005621897274 0.0582911706369984 0.953516700368902 0.979948480204793
"b0038" 44.9962040031814 -0.5686877562041 0.298021819922995 -1.90820845383416 0.0563642794231132 0.149912509363353
"b0039" 49.2842885872064 -0.757517045251868 0.27658816111767 -2.73879056207902 0.0061665642914055 0.0246533564035061
"b0040" 9.61330269274273 -1.4060307234485 0.632727478569631 -2.22217427102587 0.0262715305285618 0.08150145266247
"b0041" 5.15869133407805 -0.951416101153063 0.798912414956352 -1.19088911793296 0.233697117100604 NA
"b0042" 7.2440298408394 -0.644055720417823 0.680040226962025 -0.947084738347088 0.343595600884448 NA
"b0043" 26.1271115211422 -0.405802054689293 0.371186423904432 -1.09325672641996 0.274281096883129 0.462010732607897
"b0044" 4.00637834863227 -1.07278449941898 0.924721119746411 -1.16011679252353 0.246001258091439 NA
"b0045" 15.8825695685912 -0.284093044292782 0.465729681075796 -0.609995574335203 0.541864739260269 0.734087536982311
"b0046" 41.7622704404253 -0.419347194997521 0.31250272380533 -1.34189932775993 0.17962863976292 0.347088301907927
"b0047" 129.050244059189 -0.0325680757910366 0.18112841142675 -0.179806555661244 0.857304436827653 0.926473260679289
"b0048" 113.052897650455 -0.462813258359851 0.195951361767477 -2.36187824460767 0.0181826127856474 0.0609061753433342
"b0049" 319.137830536709 0.123515319027213 0.132219138862442 0.934171256066912 0.350215560276421 0.548350623259517
"b0050" 273.877830810267 0.0530153734196368 0.138219815506974 0.383558415449931 0.701305766392928 0.836837539542233
"b0051" 718.582583055999 0.205026561126312 0.117765716351564 1.74096984655746 0.0816888641610731 0.199310176679961
"b0052" 834.496631916335 0.0117912444929962 0.129401242822147 0.0911215706730299 0.927395993024599 0.965027513525797
"b0053" 1932.53703124559 -0.0985539218206381 0.0920944336540783 -1.07013983267244 0.284556371956112 0.47409522825469
"b0054" 3870.00355288008 -0.0468835908316842 0.0894118737989032 -0.524355310315165 0.600031433448834 0.774214271832522
"b0055" 153.182446893445 0.246479567977651 0.176185099568113 1.39898077976999 0.161818746795898 0.322961488383249
"b0056" 106.527025174048 -0.563673051922905 0.196291537911974 -2.87161157286201 0.00408384590919918 0.0173042783425269
"b0057" 126.239845203194 -0.205618958596603 0.179727695050906 -1.14405828516503 0.252599465966872 0.437640597880954
"b0058" 104.685731333559 -0.47457806152063 0.195334948817416 -2.42956042630255 0.0151171447521657 0.0521459632155029
"b0059" 461.778783598927 -0.699735846246961 0.11976314380316 -5.84266431246188 5.13724731018802e-09 7.49410657234298e-08
"b0060" 155.929522936896 -0.205769229120951 0.172944893725224 -1.18979649927034 0.234126385860985 0.41697625664524
"b0061" 7.27319220268145 -0.0657195276199531 0.6813708147462 -0.0964519263191992 0.92316165308253 NA
"b0062" 34.9912143680403 -0.166444156674624 0.310104633801513 -0.536735470973836 0.591450350722382 0.769147070588956
"b0063" 14.3523233896859 0.369805453032174 0.485093064882438 0.76233918768102 0.445857590993869 0.650904397547199
"b0064" 127.914060359468 -0.121707525023622 0.188541861567054 -0.645519907420331 0.518590321740995 0.71322497650021
"b0065" 164.236574537335 0.102833531276207 0.170487505949455 0.60317341557389 0.546393330934973 0.737139184904153
"b0066" 164.914583017288 0.305498249882407 0.175491575875152 1.7408143288869 0.0817161294760594 0.199310176679961
"b0067" 349.490959432691 0.647723415085944 0.140321707940766 4.61598867767038 3.91228276790117e-06 3.5100339762719e-05
"b0068" 683.972283723515 0.712685815599214 0.119640917955763 5.95687351598832 2.57109074407335e-09 3.88407463393216e-08
"b0069" 162.021812512131 -0.0254388998487693 0.176847976364849 -0.14384614611754 0.885621962443258 0.941939605389601
"b4662" 43.229302339424 -1.22143042688648 0.296566840187769 -4.11856708630385 3.81235587713253e-05 0.000275440910442354
"b0070" 152.024464142317 -0.232125429260816 0.165706804613326 -1.40082014014136 0.161267864427067 0.322659768535495
"b0071" 2507.9505577862 -0.829727133344028 0.138343741097098 -5.99757623123461 2.00284353530801e-09 3.11173495607611e-08
"b0072" 4900.71542321977 -0.808553022195559 0.143403447211622 -5.63830952405466 1.71727631220382e-08 2.26325174663552e-07
"b0073" 3374.44296440259 -0.722527100146682 0.14147459035292 -5.10711569013402 3.27113489019003e-07 3.51187571637817e-06
"b0074" 4494.908462462 -0.647311450738484 0.134900856365091 -4.79842358440351 1.59919297750904e-06 1.51665398512148e-05
"b0075" 122.849706710893 -0.834397807459177 0.194758336403687 -4.28427261634477 1.8333800115898e-05 0.000143003640904005
"b0076" 21.276675275852 -0.0547714884550345 0.393087482342378 -0.139336638573825 0.889184138860787 0.943492997980547
"b4726" 0.602261565264825 -0.498260453620265 2.35345813644078 -0.211714177492786 0.832330026779289 NA
"b0077" 2641.9451941021 -0.307500759625331 0.108217547137864 -2.84150553914875 0.00449010719452166 0.018755398576461
"b0078" 890.251398678984 -0.304207898799512 0.103118028339504 -2.95009421434963 0.00317677040823998 0.0139238721333638
"b0080" 554.9157981305 -0.229506131207553 0.12293278778353 -1.86692366898639 0.0619122480254236 0.161191152556655
"b0081" 488.801046703549 0.139965088071017 0.120899864612108 1.15769433257909 0.246988797584163 0.432032578657515
"b0082" 675.168757560917 0.173838163144054 0.123553855719507 1.40698290742705 0.159432457251438 0.320056078480618
"b0083" 240.36991614127 0.278629871954007 0.148351212399812 1.87817724875136 0.0603569214466632 0.157571143284936
"b0084" 1043.13711046645 0.050953787133027 0.105009785265183 0.485228943229934 0.627513953266406 0.790543964269712
